angle,peak_position,peak_std,gauss_center,gauss_std,centroid,centroid_std,temp,humid
49.99999,994.2866,26.99256534028546,3364.41599,2.2234571162718906,1044.4623350000002,2.661860997173762,24.87,44.6
49.0,981.3006975000001,12.27650225219377,3392.1960599999998,2.3751240614755185,1015.7580254999999,2.239742134464305,24.87,44.6
48.0,943.8328829999998,5.705415515972614,3420.2330500000003,1.9472465613013545,987.4121894999998,2.0602526057342367,24.87,44.5
47.00001,913.9681274999999,8.052467575414294,3444.2857149999995,1.3555652626395178,962.596233,1.7385461682195855,24.87,44.5
46.00001,880.7907419999999,5.486123166116131,3471.5201800000004,3.103344758095675,934.9457410000001,3.1720600891784914,24.87,44.6
45.00002,856.9323994999999,7.879554613346803,3496.5220799999997,1.778611156942458,909.9157799999999,1.820448523891818,24.87,44.6
44.00002,824.3122045,6.490987844716306,3518.9716099999996,1.9914855490060623,887.640711,2.041341310613934,24.87,44.6
43.00003,792.9617069999999,9.160429577607754,3544.5404949999997,1.738198130960627,862.4693940000001,2.053116724252153,24.87,44.6
42.00003,759.4126745000001,8.019423889522534,3570.0210500000003,1.7251186992493897,836.9842124999999,1.8310307198320632,24.87,44.7
41.00004,734.185202,3.5002731111080494,3597.036545,1.6672587359120783,810.1385109999999,1.9353241296302526,24.87,44.7
40.00004,709.7077514999999,4.303715780371967,3619.1390900000006,1.4345491469099627,788.1863324999999,1.357159681960363,24.87,44.7
39.00005,682.9182574999999,6.9126170678794905,3642.2274150000003,1.1295117685420106,765.072062,1.0858418729934913,24.87,44.7
38.00005,654.4486170000001,9.20843527792324,3668.013819999999,1.349851998035329,739.003753,1.290442785725492,24.87,44.7
37.00006,624.6170505,12.947747076590383,3693.25385,1.3119473306882148,713.810857,1.2743267822348308,24.87,44.7
36.00006,619.8112404999999,10.863293355206551,3715.7611849999994,2.1359510968828834,691.189219,2.1133662043169266,24.87,44.9
35.00007,596.478527,4.772478590676021,3738.7103300000003,1.1877458503821676,668.2695525,1.2709913160083905,24.87,44.6
34.00007,563.6538459999999,4.5772593077707455,3762.059645,1.1648131341442751,644.7595915,1.302590728917864,24.87,44.7
33.00008,538.3082585,4.248606299055348,3784.2953299999995,1.5852667649642245,622.8851474999999,1.8096517022838459,24.87,44.7
32.00008,512.2297339999999,8.388475158007203,3806.8486200000007,1.762388370819582,600.8292240000002,1.689227991777303,24.87,44.8
31.00009,489.57497550000005,3.732365315333528,3830.5244100000004,1.7084168814724399,577.5151025000001,1.584330544778713,24.87,44.9
30.00009,462.9452284999999,9.267150726584887,3850.5796050000004,1.7952774143498964,557.345172,1.9111086379784863,24.87,44.8
29.0001,438.48800250000005,21.711112625353145,3871.8412149999995,1.1789775804802252,536.0911399999999,1.2451888524557033,24.93,44.8
28.0001,431.7229490000001,14.605670079651567,3893.00824,1.4743231326272437,515.218497,1.4444871070006102,24.87,44.8
27.00011,404.400745,11.848170751860605,3913.6695850000006,1.39995052279534,494.3935800000001,1.6403348178527488,24.87,44.8
26.00011,377.9221795,7.582331854585016,3933.83166,1.9360976355546253,474.30576249999996,1.870697527856586,24.93,44.9
25.00012,359.24661849999995,7.841495863478646,3956.3561950000003,1.3039963425849859,451.877002,1.4100593500190064,24.87,44.7
24.00012,334.89787400000006,6.463348040897536,3978.38143,1.1852615319413755,430.3322385,1.2662906180900049,24.87,44.7
23.00013,309.74278749999996,7.268391576541458,3997.1554899999996,1.7776135161783404,411.584706,1.7582972942548685,24.93,44.7
22.00013,290.431324,10.852003684707917,4014.630085,1.4021048895410606,393.89682849999997,1.3732457711359498,24.93,44.8
21.00014,274.45103850000004,8.504013547832738,4036.0937950000007,1.7767928279558118,372.43269150000003,1.6837881260309349,24.87,44.9
20.00014,262.668664,6.0479076604520055,4053.0107150000003,1.6296075540678405,355.905089,1.6445343279539621,24.93,44.8
19.00015,241.52398549999998,18.8553210495511,4072.25432,1.2691898280398857,336.8638689999999,1.3097221534619439,24.93,44.6
18.00015,231.36715049999998,11.151433341320063,4090.6002999999996,1.1219532842324005,318.48192600000004,0.9583785873254959,24.93,44.6
17.00016,214.2028915,9.063892157517802,4111.64479,1.3494401857437126,297.371916,1.340893807146557,24.93,44.7
16.00016,196.789953,9.877765150120295,4127.77595,1.9517830910477714,281.57894300000004,2.1352072193281386,24.93,44.6
15.00017,177.455066,18.363587602924003,4147.74042,1.5473973541401584,261.65081699999996,1.4566344738818262,24.93,44.6
14.00017,160.128575,13.72659431324846,4165.159305,1.8712940937957991,243.94275950000002,1.7482272481530394,24.93,44.6
13.00018,130.557702,12.014229895469935,4185.18686,1.9589873954163122,224.22310699999997,1.8757330871397997,24.93,44.6
12.00018,110.99525175000001,16.62156203141572,4200.96013,1.4924559260158952,208.75072050000003,1.4301869814519859,24.93,44.6
11.00019,95.34161380000002,7.119357681450367,4218.178045,1.1467192788450473,191.72376899999998,1.2060703632454415,24.93,44.6
10.00019,68.3432979,13.664811109791952,4238.86155,1.4109796081091388,171.29471500000002,1.3519145995938513,24.93,44.7
9.0002,58.12742875,5.36962711901401,4254.222265000001,1.9744233374013351,155.95496699999998,2.2030116236962973,24.93,44.6
8.0002,37.26065695,12.924043625481575,4272.489115,1.54257649057515,138.1763275,1.4275958427015507,24.93,44.6
7.00021,4.710974275585,12.396557776656328,4289.8755,1.5197117506289994,120.60948570000002,1.7400286480036218,24.93,44.5
6.00021,-15.03560795,10.223958113347631,4308.404619999999,1.547113654390029,102.26942149999999,1.654551803560482,24.93,44.6
