angle,peak_position,std
49.99999,4012.7388400000004,4.751501924276125
49.75,3956.7656199999997,3.0727062748658827
49.5,3918.1120600000004,2.4219639502684367
49.25,3877.8414900000002,3.6284195169385107
49.0,3852.1177700000007,2.9530562869847157
48.75,3819.7627899999993,3.6882050586836583
48.5,3783.0182800000002,2.478546998061581
48.25,3770.6046799999995,3.1022076112987964
48.0,3746.6427400000002,2.905103757252024
47.75,3724.1849800000005,3.535113468560765
47.5,3712.02146,2.8287799289446363
47.25001,3692.4124600000005,2.571734164800078
47.00001,3684.1106699999996,2.0681754771053478
46.75001,3673.0711300000003,3.151366136788926
46.50001,3662.2088000000003,1.2279276118729556
46.25001,3660.5401200000006,1.6991575652658233
46.00001,3654.73579,2.034265624961464
45.75002,3654.48809,1.518418309590646
45.50002,3657.1256399999997,1.8401334164674141
45.25002,3652.768690000001,1.8827940702318215
45.00002,3659.9944599999994,2.252072384804652
44.75002,3658.33318,2.3728820471317165
44.50002,3661.33416,1.6781494755831472
44.25002,3669.0576300000002,1.3275108625167444
44.00002,3667.0791,2.0557986146506826
43.75002,3675.1409400000002,2.5363599027739636
43.50003,3677.8609800000004,2.069883384541259
43.25003,3685.26095,2.3549869418958407
43.00003,3692.5210899999997,1.9075494674844038
42.75003,3692.1990900000005,1.5613300435525639
42.50003,3704.54862,2.5603344003470103
42.25003,3708.17169,1.82115979389511
42.00003,3718.40288,1.3726020827610965
41.75003,3726.775350000001,1.2004624102819537
41.50003,3730.9527499999995,1.7775525945805315
41.25004,3744.7717199999997,1.3581521179896836
41.00004,3748.49183,2.021468042314763
40.75004,3760.2379100000007,2.1564358299981827
40.50004,3770.7871,1.6834346123327297
40.25004,3772.9972199999997,1.6792406306422667
40.00004,3786.26365,1.607078746203815
39.75004,3790.89809,1.4108396737050217
39.50005,3798.7551200000003,2.70552529088166
39.25005,3807.379269999999,2.3538556209121317
39.00005,3813.1961200000005,1.5484723464111272
38.75005,3826.1314099999995,2.204672970056972
38.50005,3832.6037100000003,1.5917024360414125
38.25005,3841.1802500000003,1.3077294079816533
38.00005,3844.33099,4.548730371532271
37.75005,3860.209619999999,1.3448123756123123
37.50005,3865.10009,2.8344747183384413
37.25006,3876.43784,2.2551308415256877
37.00006,3884.4871,2.098414505287237
36.75006,3889.09249,2.61818796592222
36.50006,3903.0887900000002,1.6082766058424278
36.25006,3906.0357900000004,1.5214966923722857
36.00006,3917.68221,3.2886077015812614
35.75006,3922.4153999999994,1.5730927849303928
35.50006,3933.57848,1.8121776777126681
35.25006,3941.38983,3.626942482050099
35.00007,3943.8064199999994,1.657998943184185
34.75007,3955.46173,1.3546024575867115
34.50007,3957.6212,1.8522456575734956
34.25007,3969.6870299999996,1.980483198136184
34.00007,3974.2740600000006,2.0233991362062107
33.75007,3981.2585900000004,1.5569086154620286
33.50008,3983.4981199999993,2.8801695827850247
33.25008,3993.66916,2.5392086346734573
33.00008,3998.17307,2.1033642846877014
32.75008,4005.64478,1.807553035349098
32.50008,4007.54698,1.49411334964921
32.25008,4016.0488899999996,1.553854705852494
32.00008,4018.99064,1.7825218827267826
31.75008,4021.5649000000003,1.7148883386389728
31.50008,4029.9484,2.079874988550974
31.25009,4027.3460400000004,1.3215635998317097
31.00009,4037.2550600000004,2.536238734504285
30.75009,4039.26973,1.838482052699988
30.50009,4046.4504199999997,1.6717186520464924
30.25009,4045.9917,1.4256410810579168
30.00009,4047.71763,2.72491028037627
29.75009,4054.44104,2.7300697903899973
29.50009,4061.4337299999993,1.595325439557742
29.2501,4059.19291,1.9701977278689813
29.0001,4069.31413,1.1073401609713502
28.7501,4073.50263,2.8408305025292373
28.5001,4073.9412,1.0110142541033336
28.2501,4082.92185,1.4453509284945263
28.0001,4086.1539300000004,2.4934282973649275
27.7501,4094.54545,1.9437847675346231
27.5001,4097.46258,2.4621142003570213
27.2501,4105.59696,2.5043424542981674
27.00011,4112.289460000001,2.2311881804096316
26.75011,4114.629490000001,2.096943945102021
26.50011,4121.15494,1.4804783640431647
26.25011,4128.246540000001,1.928902757113453
26.00011,4128.58704,1.7197861025138654
25.75011,4133.043299999999,2.461135614305086
25.50011,4138.066390000001,2.157112259688974
25.25011,4139.275729999999,0.7717762837118133
25.00012,4147.8226,3.1236866276885342
24.75012,4145.40321,2.6500186619907473
24.50012,4153.03744,1.6053620477637054
24.25012,4152.85606,1.5111658546962796
24.00012,4157.291569999999,2.2152477432784137
23.75012,4157.784959999999,2.7491422986815492
23.50012,4167.8773,1.8190335164588685
23.25013,4166.80176,1.5832144360130362
23.00013,4170.46207,2.5321769634250217
22.75013,4178.73398,2.102048681548509
22.50013,4176.522739999999,1.8222293978530164
22.25013,4186.47299,2.8048008661755564
22.00013,4187.96839,3.2456218323920663
21.75013,4196.31696,2.653439351558735
21.50013,4198.07064,2.958220951585489
21.25014,4206.56962,2.483655630638087
21.00014,4203.67921,2.7501953964945987
20.75014,4207.79911,2.142512220011907
20.50014,4210.59078,1.0398208968855596
20.25014,4219.7714700000015,1.9120243089719693
20.00014,4222.97698,3.6379952214922255
19.75014,4224.261769999999,4.755157968574691
19.50014,4231.050420000001,2.889439169735139
19.25014,4228.20396,2.819926214708506
19.00015,4235.02498,2.0991493823928207
18.75015,4232.862950000001,2.1991262215934775
18.50015,4240.72904,1.621084992343119
18.25015,4243.436919999999,2.4135565594365644
18.00015,4247.65222,1.970471911903314
17.75015,4252.120349999999,1.8629763547881177
17.50015,4253.42717,1.5533583843080143
17.25015,4261.06518,0.9615641370184739
17.00016,4260.51943,1.4315173048553371
16.75016,4269.5533,2.374945480637472
16.50016,4274.272760000001,2.1422705217595954
16.25016,4274.6114,2.3647027529904188
16.00016,4280.40647,2.1659250111903696
15.75016,4284.23153,1.496027171578077
15.50016,4287.80874,2.328543394571084
15.25016,4293.66826,0.9738366754235187
