angle,peak_position,std,temp,humid
60.0,2902.79276,3.3630653172960954,22.31,50.2
59.75,2910.65224,2.4777513637167607,22.31,50.2
59.50001,2913.87169,4.388739950475569,22.31,50.2
59.25001,2923.38775,3.6160092196370233,22.31,50.2
59.00001,2929.1216699999995,2.6910961094134564,22.31,50.2
58.75001,2937.32633,3.4623787167350173,22.37,50.2
58.50001,2945.9235099999996,3.1291604268397344,22.31,50.2
58.25001,2950.1776500000005,4.615111313554617,22.31,50.2
58.00002,2961.1174499999997,4.834799915249943,22.31,50.2
57.75002,2965.59684,3.070323090555809,22.37,50.2
57.50002,2968.17176,5.129718448258136,22.31,50.1
57.25002,2980.88175,3.243798281413331,22.31,50.2
57.00002,2993.00114,3.153914495416781,22.31,50.2
56.75002,2999.66947,2.4973510238049914,22.37,50.2
56.50002,3004.06824,1.7947172185054423,22.37,50.2
56.25002,3014.26299,2.814497066422317,22.37,50.2
56.00002,3015.58586,3.7169695030225975,22.31,50.1
55.75002,3027.0107999999996,3.21948977665723,22.37,50.1
55.50003,3034.97454,2.765029860308975,22.37,50.1
55.25003,3042.1143300000003,3.393897966660149,22.37,50.1
55.00003,3051.3700599999997,2.878839300898812,22.37,50.2
54.75003,3052.62584,3.767888156832687,22.37,50.1
54.50003,3063.3879,3.2542548889108187,22.37,50.1
54.25003,3069.75704,2.6969820422835387,22.37,50.1
54.00003,3075.94214,3.6675439711610824,22.37,50.1
53.75003,3084.1159199999997,3.398414182762276,22.37,50.2
53.50003,3091.3032300000004,4.307096857292691,22.37,50.1
53.25004,3099.0673899999997,2.1191215889844752,22.37,50.1
53.00004,3109.3282700000004,4.609943966047696,22.37,50.0
52.75004,3112.5391600000003,1.8947169473037546,22.37,49.9
52.50004,3122.4137500000006,2.7412393978819103,22.37,50.1
52.25004,3129.00058,3.633908671884912,22.37,50.1
52.00004,3136.95669,2.3735676364704985,22.43,49.9
51.75005,3138.3247899999997,3.7079234448543077,22.43,50.1
51.50005,3148.78515,3.752976930984233,22.43,50.1
51.25005,3159.22973,2.5070229516500318,22.43,50.0
51.00005,3161.25615,2.780959163400309,22.43,49.9
50.75005,3167.33241,5.705786379711386,22.43,49.9
50.50005,3179.96357,4.13347409912058,22.43,50.0
50.25005,3188.3835499999996,2.6909925359427924,22.43,50.0
50.00005,3192.12805,1.9325522038226626,22.43,50.1
49.75005,3198.90077,4.648565435927489,22.43,50.0
49.50006,3208.26718,1.94528073439285,22.43,49.9
49.25006,3216.8992700000003,3.6122609739747173,22.43,49.9
49.00006,3224.08691,2.520381710951771,22.43,50.0
48.75006,3228.3922599999996,3.7533120115972047,22.43,50.0
48.50006,3235.95777,2.9628730850476974,22.43,49.8
48.25006,3239.41875,2.3808849318058227,22.43,49.9
48.00006,3248.7223299999996,2.0389424141206622,22.43,49.8
47.75006,3256.7484500000005,3.200259703914699,22.5,49.8
47.50006,3261.4426999999996,4.298432154402315,22.5,49.8
47.25006,3269.6267099999995,1.9628474283295485,22.5,49.8
47.00007,3274.23578,4.736194230561073,22.5,49.8
46.75007,3280.5256600000002,4.408247036453373,22.5,49.8
46.50007,3284.3174,6.694070390427674,22.5,49.8
46.25007,3295.00092,2.692089675995157,22.5,49.8
46.00007,3300.44596,3.14453824247694,22.5,49.7
45.75007,3311.0626199999997,2.493861822876356,22.5,49.8
45.50008,3318.5602699999995,3.406100112166441,22.5,49.8
45.25008,3320.26536,1.943850751060859,22.5,49.8
45.00008,3328.76109,1.7846096634558024,22.5,49.7
44.75008,3334.48463,3.557813590690291,22.5,49.8
44.50008,3339.5771200000004,3.294740116245852,22.5,49.7
44.25008,3345.5163799999996,2.586294011824607,22.5,49.7
44.00008,3352.8292500000002,2.4896515692964676,22.5,49.7
43.75008,3360.6953299999996,3.9184690768334685,22.5,49.7
43.50008,3367.66351,4.194428031198002,22.5,49.7
43.25009,3373.4094400000004,3.3991448578135226,22.5,49.7
43.00009,3376.98326,2.436802211998334,22.5,49.7
42.75009,3383.20944,3.4361607608492237,22.56,49.6
42.50009,3387.8500599999998,4.682791999480663,22.5,49.7
42.25009,3396.8921600000003,4.17245366090505,22.5,49.6
42.00009,3405.9700600000006,4.080739306596322,22.5,49.7
41.7501,3411.6726400000007,2.44388906343973,22.56,49.7
41.5001,3417.8684500000004,2.840321701585908,22.5,49.7
41.2501,3420.5185600000004,2.39506338671863,22.56,49.7
41.0001,3423.2583700000005,2.3172638119341644,22.56,49.4
40.7501,3427.10915,3.219746393817342,22.56,49.5
40.5001,3438.9980600000004,1.7459737393213555,22.56,49.7
40.2501,3445.70165,1.7670743319114135,22.56,49.7
40.0001,3452.55253,2.697798812754593,22.56,49.6
39.7501,3453.5344300000006,2.6520611837022328,22.56,49.7
39.50011,3461.2228000000005,2.7844022669148303,22.56,49.5
39.25011,3464.0502,3.5125248443249144,22.56,49.6
39.00011,3472.5208,3.787771473043164,22.56,49.6
38.75011,3484.55002,2.274482758255118,22.56,49.5
38.50011,3489.33954,1.663642021710189,22.56,49.5
38.25011,3496.4636400000004,2.267978921507053,22.56,49.5
38.00011,3502.29868,6.091836951330892,22.56,49.4
37.75011,3509.51843,4.391106074111574,22.56,49.6
37.50011,3513.75899,3.8172637172324775,22.56,49.4
37.25011,3518.48291,3.881351984154514,22.56,49.6
37.00012,3524.7089,2.8118285851025813,22.56,49.6
36.75012,3534.2841099999996,5.834018652944134,22.62,49.5
36.50012,3538.24116,2.655743342719664,22.56,49.5
36.25012,3542.99089,2.0765333031040245,22.62,49.5
36.00012,3548.3209500000003,2.279379413897497,22.56,49.5
35.75012,3554.2511299999996,2.2284278157705413,22.56,49.5
35.50013,3557.44849,2.6485356586046525,22.62,49.5
35.25013,3565.4955999999997,2.3010080282345826,22.56,49.4
35.00013,3567.12606,2.9874987525352505,22.56,49.4
34.75013,3573.34442,1.9930026130439633,22.56,49.5
34.50013,3580.59465,4.730621347825212,22.62,49.4
34.25013,3587.96943,3.2155658037272086,22.62,49.4
34.00013,3594.17592,4.152410794658884,22.62,49.3
33.75013,3599.5285799999997,2.6704005807369406,22.62,49.4
33.50013,3601.0284999999994,3.3122820209034294,22.62,49.4
33.25014,3606.91229,3.8520198173036992,22.62,49.3
33.00014,3613.43477,3.326127307560537,22.62,49.3
32.75014,3620.62058,3.2301684713958867,22.62,49.4
32.50014,3626.05242,3.7471917289618,22.62,49.4
32.25014,3629.21109,4.260193071552053,22.62,49.3
32.00014,3638.6700499999997,2.671479414949709,22.62,49.4
31.75014,3642.92148,2.628970084576857,22.62,49.4
31.50014,3647.9486000000006,1.3107558140249242,22.62,49.4
31.25014,3654.12993,1.859647518778698,22.62,49.4
31.00015,3657.0902300000002,2.744534349229437,22.62,49.4
30.75015,3663.5932399999997,4.033097751654446,22.62,49.4
30.50015,3673.3618699999997,4.86751549253822,22.62,49.3
30.25015,3676.7222500000003,5.416216063313897,22.62,49.4
30.00015,3678.30851,5.362461141574875,22.62,49.3
29.75015,3685.1196900000004,2.631803530072061,22.68,49.4
29.50015,3688.5005099999994,5.649110473242691,22.62,49.3
29.25016,3694.09807,4.26666512420416,22.68,49.2
29.00016,3697.4612299999994,4.742097230350696,22.68,49.3
28.75016,3705.1406,3.647528853895416,22.68,49.3
28.50016,3709.9953799999994,3.619848895409867,22.68,49.3
28.25016,3718.7435400000004,3.5497534669889204,22.68,49.1
28.00016,3723.61095,3.78851675784863,22.68,49.2
27.75016,3730.14128,1.7905514116048453,22.62,49.3
27.50016,3732.27869,4.151922833687991,22.68,49.2
27.25017,3739.4554599999997,3.061359805445918,22.68,49.3
27.00017,3742.9009400000004,3.670128642486481,22.62,49.3
26.75017,3747.1212700000005,5.239503639286802,22.68,49.3
26.50017,3756.74332,3.26464463542361,22.68,49.2
26.25017,3761.67867,4.842501306566617,22.68,49.2
26.00017,3763.86449,3.1578654690945167,22.68,49.2
25.75017,3762.53819,4.0630915427664664,22.68,49.3
25.50017,3771.07382,3.437892525312579,22.68,49.3
25.25018,3772.30735,4.942565114644495,22.68,49.1
25.00018,3785.7409700000003,5.467705942358323,22.68,49.1
24.75018,3792.7804300000003,3.7797148101543323,22.68,49.2
24.50018,3798.19882,3.1301031349781137,22.68,49.2
24.25018,3803.21626,4.101786539107099,22.68,49.2
24.00018,3801.98989,2.586304831008925,22.68,49.1
23.75018,3813.2240099999995,3.058806621363902,22.68,49.2
23.50018,3817.50746,2.7607827810967267,22.68,49.1
23.25019,3822.3393800000003,2.20077886203957,22.68,49.2
23.00019,3826.03088,2.6716384780878686,22.68,49.2
22.75019,3828.1061999999997,3.9365910089822975,22.68,49.1
22.50019,3836.6016600000003,1.9996729838650724,22.68,49.1
22.25019,3841.9455399999997,3.370020355190757,22.68,49.1
22.00019,3847.6092599999997,2.683155327296537,22.68,49.1
21.75019,3848.5961400000006,1.9970412825977903,22.68,49.1
21.50019,3851.17349,3.488210528465829,22.68,49.2
21.25019,3860.7305800000004,3.3256514612327877,22.68,49.1
21.0002,3866.321549999999,3.036838679037815,22.68,49.0
20.7502,3868.1610900000005,1.5917011481116115,22.68,49.1
20.5002,3874.0721299999996,3.351135671693955,22.75,49.1
20.2502,3881.04262,2.622045413336704,22.75,49.1
20.0002,3882.1092899999994,2.791000748638435,22.68,49.3
19.7502,3891.18774,3.7309921069870686,22.75,49.1
19.5002,3895.25875,3.3631976050330468,22.75,49.1
19.2502,3898.0794300000002,4.628185482248883,22.75,49.2
19.00021,3902.8336200000003,3.364441440358337,22.75,49.2
18.75021,3910.13441,3.5401086476123464,22.68,49.1
18.50021,3911.2737,2.9181068102453516,22.68,49.1
18.25021,3920.2663100000004,2.7605310479869876,22.75,49.1
18.00021,3923.8459200000007,2.7807062997733976,22.75,49.1
17.75021,3923.2449700000006,3.5969573394885375,22.75,49.1
17.50021,3929.3725400000003,3.225676180957938,22.68,49.3
17.25022,3936.4599200000002,3.2236859979843397,22.75,49.1
17.00022,3941.17762,2.716279900083879,22.75,49.1
16.75022,3945.31831,3.2967012695875355,22.75,49.1
16.50022,3953.1392299999993,3.0254246700421943,22.75,49.1
16.25022,3958.10662,4.56267797369047,22.75,49.1
16.00022,3960.4521099999997,2.841395440078707,22.75,49.1
15.75022,3960.6680800000004,1.8697271607377137,22.75,49.1
15.50022,3969.8916300000005,3.1773188518151088,22.75,49.1
15.25023,3979.1569599999993,3.0622597258233735,22.75,49.1
15.00023,3980.72883,3.4261923162746855,22.75,49.1
14.75023,3982.22504,2.83752948749434,22.75,49.2
14.50023,3985.9966999999997,1.993620578244491,22.75,49.1
14.25023,3989.8258699999997,2.735687518723528,22.75,49.1
14.00023,3996.5220999999997,4.047170372494768,22.75,49.2
13.75023,3999.8642099999997,5.462810647175975,22.75,49.1
13.50023,4007.79838,3.968467021357256,22.75,49.1
13.25023,4012.977790000001,2.5167868179287556,22.75,49.2
13.00024,4015.1814399999994,3.9646903640006532,22.75,49.1
12.75024,4019.1239199999995,6.392608322554998,22.75,49.1
12.50024,4024.3839500000004,2.8634929419330213,22.75,49.0
12.25024,4031.679089999999,3.6288031267761656,22.75,49.0
12.00024,4035.46866,3.784519482100753,22.75,49.0
11.75024,4037.7475099999997,2.141547496297891,22.75,49.1
11.50024,4035.40073,3.6061216260825626,22.75,49.1
11.25024,4046.3624500000005,2.6125854471193413,22.75,49.1
11.00025,4050.8179000000005,3.6551567241364453,22.75,49.1
10.75025,4053.50615,3.287008590877152,22.75,49.1
10.50025,4058.7629499999994,2.8452769110405547,22.75,49.1
10.25025,4064.5346199999994,4.1099571513095094,22.81,49.1
10.00025,4068.7430099999997,2.2635808642281785,22.75,49.0
9.75025,4074.4869999999996,3.0714791954365848,22.81,49.0
9.50025,4078.4833099999996,3.6938952698878316,22.81,49.1
9.25025,4079.6420999999996,3.5955570172089084,22.81,49.0
9.00026,4080.41398,3.4148818409426336,22.81,49.0
8.75026,4087.350520000001,4.455720264289374,22.81,49.1
8.50026,4088.63317,2.882814083165958,22.75,49.0
8.25026,4094.87382,3.577307504758205,22.81,49.0
8.00026,4102.739369999999,4.296270852041308,22.81,49.0
7.75026,4104.53285,1.9459291129175416,22.75,49.0
7.50026,4112.61727,3.5741297545137445,22.75,49.0
7.25026,4115.603399999999,2.9168660771450963,22.75,49.0
7.00027,4119.15349,2.315392064186942,22.75,49.0
6.75027,4122.28865,3.2666430656715155,22.81,49.0
6.50027,4122.32267,2.962169140022313,22.81,49.2
6.25027,4129.456229999999,1.2250841277643618,22.75,49.1
6.00027,4135.4299200000005,2.9475576353314543,22.81,48.9
5.75027,4142.21791,4.7925555910076145,22.75,49.1
5.50027,4148.22131,3.914454348041326,22.75,48.9
5.25027,4150.78441,3.0335905450306897,22.81,49.0
5.00028,4155.076739999999,3.0390397855902083,22.75,49.0
4.75028,4155.62971,3.1182242233201096,22.81,49.1
4.50028,4162.74276,4.658950813906474,22.81,49.0
4.25028,4164.59013,2.1603815121640806,22.81,49.0
4.00028,4171.75755,2.464424214395738,22.81,49.0
3.75028,4177.41193,1.792563311601548,22.81,49.0
3.50028,4185.12545,2.7169422663169778,22.81,49.1
3.25028,4188.32684,3.6570089119936156,22.81,49.2
3.00029,4190.87068,2.6313064332379867,22.81,49.0
2.75029,4190.59104,3.9178854021525713,22.81,49.1
2.50029,4193.7708999999995,4.680947971938957,22.81,49.1
2.25029,4203.43695,3.5627623443755625,22.81,49.0
2.00029,4208.30239,3.8944198575526245,22.81,49.0
1.75029,4204.0008,2.993252449426914,22.81,49.2
1.50029,4213.00063,1.97559558819619,22.81,49.0
1.25029,4219.335250000001,2.324154562953968,22.81,49.0
1.0003,4221.66151,4.13690405435024,22.81,49.1
0.7503,4222.22335,3.620459985485279,22.81,49.1
0.5003,4233.40907,2.9447308440839626,22.81,49.2
0.2503,4236.537969999999,3.840804275942713,22.81,49.1
0.0003,4243.02564,2.9089060133322056,22.81,49.0
-0.2497,4246.29975,4.896061926946974,22.81,49.1
-0.4997,4251.24735,1.8421569977882142,22.81,49.1
-0.7497,4255.9614,3.5012473725802318,22.81,49.0
-0.9997,4257.556849999999,2.355275741500394,22.81,49.0
-1.24969,4261.635239999999,2.2247945748765257,22.81,49.1
-1.49969,4267.73029,2.9578941926478772,22.81,49.0
-1.74969,4272.88285,4.185820769514622,22.81,49.2
-1.99969,4271.7840400000005,3.0750658627743395,22.81,49.0
-2.24969,4277.16663,3.5839562846244335,22.81,49.1
-2.49969,4284.3003100000005,3.5145521852576733,22.81,49.0
