angle,peak_position,std,gauss_center,centroid,temp,humid
49.99999,2531.04539,4.701173038072526,1832.0166000000002,2551.2527400000004,22.43,50.9
49.0,2456.31014,14.1521776097673,1905.631285,2478.4812599999996,22.43,51.0
48.0,2396.2913799999997,16.290217094520287,1968.8329499999995,2415.7270200000003,22.43,50.9
47.00001,2326.47697,7.497362396476549,2036.91513,2348.9460750000003,22.43,50.9
46.00001,2255.093335,9.106991504952408,2107.131355,2279.3994150000003,22.43,51.0
45.00002,2185.958485,5.255676287907626,2168.7116950000004,2218.4607549999996,22.43,51.0
44.00002,2131.56963,15.694346425802479,2233.7065250000005,2154.44395,22.43,51.0
43.00003,2061.734245,9.052155600876233,2296.2288849999995,2093.08772,22.37,51.0
42.00003,1998.6968000000002,10.481507594282416,2360.1871250000004,2029.0275400000003,22.43,51.0
41.00004,1948.1882099999998,6.296369184927154,2416.6353149999995,1973.5482949999998,22.43,51.0
40.00004,1892.8124199999997,5.961915225630115,2475.4095750000006,1914.9345250000001,22.37,51.0
39.00005,1831.5970899999998,9.839148479360363,2534.5379199999998,1856.7871399999997,22.37,50.8
38.00005,1761.1089749999999,8.518997237461416,2595.152475,1796.3141499999997,22.37,50.9
37.00006,1714.489315,10.6713171888139,2649.975235,1741.9511750000001,22.37,51.1
36.00006,1661.3752949999998,11.37361690780354,2701.35351,1690.5587500000001,22.37,51.0
35.00007,1609.3911050000002,8.360336163903632,2754.973325,1637.63066,22.37,51.1
34.00007,1545.6391550000003,12.32751301952162,2810.2429299999994,1582.6015949999999,22.37,51.0
33.00008,1495.712365,10.720651807482385,2861.89833,1531.3878800000002,22.37,51.1
32.00008,1451.249655,9.843048701366628,2913.1394900000005,1480.4367800000002,22.43,51.0
31.00009,1404.98791,5.8645880434945985,2965.4051449999997,1428.2506899999998,22.43,51.1
30.00009,1350.2718049999999,7.607346051776208,3011.2201349999996,1382.615615,22.43,51.1
29.0001,1300.310635,6.625256380342952,3063.21973,1330.872185,22.43,51.0
28.0001,1250.8274850000003,15.563552408986672,3111.707045,1283.084895,22.43,51.0
27.00011,1210.0613349999999,8.602665880660176,3152.3236650000003,1242.15771,22.43,50.9
26.00011,1160.12462,8.737290514089619,3201.027075,1193.8822000000002,22.43,51.0
25.00012,1123.16957,10.448441389178582,3241.4147000000003,1153.8188299999997,22.43,51.0
24.00012,1069.7920200000003,8.99075054478769,3291.24197,1104.24195,22.43,50.9
23.00013,1023.694958,9.296038843078604,3336.737485,1058.80871,22.43,50.9
22.00013,983.1017095,9.351740352644773,3380.690565,1015.0353195,22.43,50.9
21.00014,940.6857575,13.93380421685868,3421.16587,974.430387,22.43,51.0
20.00014,898.6197239999999,7.471946727289603,3462.975705,932.8006425000001,22.43,50.9
19.00015,860.121263,11.351619542646374,3503.4802900000004,892.5399775,22.43,50.9
18.00015,814.9958265,12.617312951175967,3543.4280449999997,852.7040515000001,22.43,50.8
17.00016,779.3526264999999,10.618336753637665,3584.9913500000002,811.6402785000001,22.43,50.9
16.00016,731.7996814999999,10.196017273192654,3627.8523849999997,769.2125825,22.43,50.9
15.00017,691.730503,15.738186022911655,3666.90075,730.1454925,22.43,50.9
14.00017,654.6429350000001,6.016117073448224,3706.21031,690.9847870000001,22.43,50.8
13.00018,620.10355,6.719703007870217,3745.0720649999994,652.6029120000001,22.43,50.9
12.00018,586.622477,9.627992591598787,3780.90323,617.179668,22.43,50.8
11.00019,544.8141455,13.717828266784611,3819.42444,578.8972450000001,22.43,50.9
10.00019,501.1456789999999,9.92305901742044,3861.251855,537.219872,22.43,50.8
9.0002,465.78571750000003,6.061706319446593,3897.0684,501.9000835,22.43,50.8
8.0002,427.0872055,12.937004359976259,3934.7028899999996,464.3330945000001,22.43,50.8
7.00021,383.91121999999996,14.315887085025848,3976.064985,423.5671875,22.43,50.8
6.00021,351.709923,8.24992658448068,4009.5049449999997,390.5985235,22.43,50.9
5.00022,316.0940445,7.855017844692314,4051.07238,349.24234749999994,22.43,50.8
4.00022,275.5091685,18.547572310696964,4087.896195,312.777905,22.5,50.7
3.00023,254.27254499999995,9.241670850740414,4115.669360000001,285.2514765,22.5,50.7
2.00023,204.1460085,12.540096252240758,4159.592155,241.48809599999998,22.5,50.7
1.00024,167.82657449999996,9.957648351858724,4192.79403,208.15748250000001,22.43,50.8
0.00024,125.86859225,7.4350348173874545,4232.232585,169.2359745,22.5,50.6
-0.99976,97.56595449999999,7.980852025878236,4265.880690000001,135.631067,22.5,50.7
-1.99975,65.53594994999999,18.955193804866482,4301.028754999999,100.19913305,22.5,50.6
-2.99975,23.9595095,10.69243623253239,4339.095705,62.43494834999999,22.5,50.6
-3.99974,-18.02723405,6.395013958945637,4375.909594999999,25.7097537,22.5,50.6
-4.99974,-55.380114850000005,6.930814264374073,4411.865745,-9.9881226,22.5,50.6
-5.99973,-82.84283329999998,14.903596397349332,4446.327595,-44.3604615,22.5,50.6
-6.99973,-125.04722849999999,9.336170077430351,4483.40699,-81.1823357,22.5,50.6
-7.99972,-167.2801385,11.285696838614921,4525.361094999999,-122.42125204999999,22.5,50.7
-8.99972,-199.35626300000004,6.9311966430444745,4561.06782,-157.65162249999997,22.5,50.6
-9.99971,-230.46234249999998,6.601474024113006,4598.531115,-194.85138,22.5,50.5
-10.99971,-273.24090700000005,6.630707880588687,4632.8688950000005,-228.87584299999997,22.5,50.6
-11.9997,-313.10421349999996,7.9879619672012,4676.167770000001,-271.89915199999996,22.5,50.6
-12.9997,-353.9550645,5.4060131008641426,4713.79966,-308.99107849999996,22.5,50.6
-13.99969,-397.12816250000003,8.807637579137145,4752.177559999999,-347.53411600000004,22.5,50.6
-14.99969,-429.59442049999996,7.898836985521655,4793.056275000001,-388.18136549999997,22.5,50.4
-15.99968,-471.9194715,10.862514817606124,4830.962999999999,-425.6295035000001,22.5,50.6
-16.99968,-509.014221,17.596672388579574,4870.657615,-465.53153249999997,22.5,50.6
-17.99967,-552.8336975,16.96371938525801,4913.272940000001,-507.3643415,22.5,50.7
-18.99967,-588.6240620000001,9.401368468956843,4949.50953,-543.9162965000002,22.5,50.6
-19.99966,-634.5022819999999,7.8181143683074925,4995.068625,-589.0522354999999,22.5,50.6
-20.99966,-676.3300285,6.747360616905897,5035.970779999999,-629.8104149999999,22.5,50.6
-21.99965,-716.0375355000001,7.461336060012632,5079.929385,-673.743932,22.5,50.7
-22.99965,-757.3922654999999,7.97082653921816,5119.779085,-712.8846384999999,22.56,50.7
-23.99964,-805.6215244999999,9.361176219441916,5167.21928,-760.4545015000001,22.5,50.6
-24.99964,-850.9714250000001,10.524109254312448,5208.773479999999,-801.817908,22.5,50.5
-25.99963,-891.590466,9.761566598406436,5254.72057,-847.5593360000003,22.56,50.7
-26.99963,-940.2890039999999,15.046425983070995,5306.636124999999,-898.8708875,22.56,50.7
-27.99962,-985.951893,9.29007607428438,5345.95918,-938.4966215000001,22.56,50.5
-28.99962,-1039.325884,11.209280704323278,5399.0669450000005,-991.1515485000002,22.56,50.8
-29.99961,-1076.5515950000004,10.31006758340968,5438.831980000001,-1031.2320129999998,22.56,50.6
-30.99961,-1127.246065,6.299433725445105,5492.935295,-1084.85572,22.56,50.5
-31.9996,-1184.4715700000002,16.975229524607286,5542.825385,-1134.4575049999999,22.5,50.6
-32.9996,-1235.720065,11.600203950330998,5592.756444999999,-1183.59037,22.56,50.6
-33.99959,-1285.1591599999997,8.690872652927307,5643.629280000001,-1234.456025,22.56,50.6
-34.99959,-1333.1762550000003,8.241084212194107,5697.6774700000005,-1287.4515000000001,22.56,50.5
-35.99958,-1394.574225,12.997139334979662,5755.052105000001,-1345.2163,22.56,50.5
-36.99958,-1445.4768299999998,7.481501773313972,5810.07725,-1399.299175,22.56,50.5
-37.99957,-1503.38971,7.4454724449761995,5862.010515,-1451.3118450000002,22.56,50.5
-38.99957,-1565.078645,14.942625124270359,5919.85859,-1508.291965,22.56,50.6
-39.99956,-1613.13938,7.78836573451709,5974.447050000001,-1562.34895,22.56,50.5
-40.99956,-1677.69172,8.92303577957635,6040.57673,-1627.9695800000002,22.56,50.6
-41.99955,-1739.6511750000002,7.17278229732892,6100.848529999999,-1687.710455,22.56,50.5
-42.99955,-1802.102945,11.584888019073585,6162.035809999999,-1748.3281000000002,22.56,50.5
-43.99954,-1863.0459450000003,8.898590513697958,6222.411814999999,-1807.56077,22.56,50.6
-44.99954,-1926.0406050000006,8.855453452335192,6288.002135000001,-1872.6429650000002,22.56,50.6
-45.99953,-1993.096895,6.775193997109949,6354.16181,-1937.5897050000003,22.56,50.6
-46.99953,-2065.172865,12.824408799249746,6422.199339999999,-2003.9837149999996,22.56,50.6
-47.99952,-2130.923065,7.114340390526361,6491.664470000001,-2072.9688699999992,22.56,50.5
-48.99952,-2198.642675,5.448013994188625,6556.900844999999,-2137.7298650000002,22.56,50.6
-49.99951,-2265.16302,7.054540426250267,6629.956335000001,-2209.0040150000004,22.56,50.5
