angle,peak_position,peak_std,gauss_center,gauss_std,centroid,centroid_std,temp,humid
49.99999,1085.85304,2.1315246757661486,3345.716235,1.2099834942159178,1048.0586049999997,1.48491130525531,26.56,40.6
49.0,1059.876945,3.21897603943786,3371.06207,2.0580561795295647,1022.4842279999999,2.1733734149533452,26.56,40.7
48.0,1025.7090925000002,3.019282483713436,3393.30415,1.3129837856958355,1001.1279349999999,1.282996928006839,26.56,40.6
47.00001,988.7482045000003,2.4768637464230427,3419.5814899999996,2.365939609732292,975.1200075,2.4120298787180823,26.56,40.6
46.00001,953.8961995,2.233422646111728,3444.90995,2.0982757703648005,948.9581119999999,1.571760557526498,26.56,40.6
45.00002,923.334725,1.295674596002026,3466.0130399999994,1.186242163472587,926.5294275,1.1312812845701847,26.56,40.6
44.00002,893.4844180000002,2.0877529847556002,3485.214825,1.3457064333929045,907.9459175,1.5794542398242453,26.56,40.6
43.00003,852.9603,3.6300002298939247,3513.2516800000003,1.5026482408068564,880.47839,1.6108762842564794,26.56,40.6
42.00003,822.925806,2.9840847348800383,3531.8442450000002,1.429932886003765,862.5499990000001,1.5349186141515783,26.56,40.6
41.00004,791.3248565,2.8855657447739427,3558.261775,1.4726389271899163,836.7437900000001,1.3348008176877846,26.56,40.6
40.00004,761.2482555,4.220810020263266,3578.686675,2.234270264510331,816.3953799999999,2.223506051363469,26.56,40.6
39.00005,731.1474935000001,4.543265587019195,3596.57205,1.968305104779249,799.178247,1.9116043361980206,26.56,40.6
38.00005,696.5678635,4.478220576417901,3618.378535,1.7652003708573696,778.1026095000001,1.7632574261249279,26.56,40.6
37.00006,666.1992505000001,2.7953795932850882,3640.1038799999997,1.6556211437403012,756.3792325000001,1.4863940001018339,26.56,40.5
36.00006,641.8643890000001,3.1870972014105443,3657.92832,1.1381781321920068,738.7647979999999,1.270028725673544,26.56,40.5
35.00007,683.1875115,47.9816130766691,3679.4192199999998,1.9855939735001715,717.0357614999999,2.028310768608374,26.56,40.5
34.00007,693.7244775,5.982794534913322,3700.148865,1.7116898072591755,696.5822714999999,1.6628700427973384,26.56,40.5
33.00008,667.3812489999999,4.079631366244866,3714.97822,2.3781851417835194,680.7789260000001,2.4259694502083162,26.62,40.5
32.00008,641.5591565,2.192248001534654,3732.82785,1.0712639756381077,662.5179725,1.051107121800042,26.62,40.5
31.00009,610.7255735,5.146793819364904,3751.244669999999,2.5885546415133,644.6199190000001,2.5260655263787126,26.62,40.5
30.00009,582.7814615000001,5.351244650847375,3771.1687200000006,1.35195663488148,625.2476625,1.6332017003355057,26.62,40.5
29.0001,552.6028855000001,3.2278748488695688,3786.7504400000007,1.7587760063180429,609.7724990000002,1.725684072560497,26.62,40.5
28.0001,527.5191674999999,3.4103192771921793,3801.300945,1.2187696724463313,595.9573545000001,1.3777598555353097,26.62,40.4
27.00011,494.7045405,3.6783729188738823,3823.2540500000005,1.241941455343241,574.4961004999999,1.3748136864334402,26.62,40.4
26.00011,472.987024,3.3150481438304933,3835.009805,1.804093044018277,562.5625579999999,1.9131180157209318,26.62,40.4
25.00012,457.55654100000004,22.00411779458447,3855.36755,1.6111494531855055,542.0413605,1.5929948114023302,26.62,40.3
24.00012,493.9588134999999,4.906410452476711,3868.582775,1.4644354652475706,529.7478045000001,1.2410867919507997,26.62,40.4
23.00013,472.650109,5.382131493259806,3886.1660449999995,1.6470043902415579,512.5291875,1.7914259730641204,26.62,40.4
22.00013,453.9126705,3.6343967196241564,3902.0904050000004,1.4012060610328205,497.1779445,1.4104708672867852,26.62,40.4
21.00014,431.61785799999996,9.010974287293017,3915.202205,2.2616626429410345,483.70688649999994,2.19314414315219,26.62,40.5
20.00014,408.656396,3.3619077004825653,3931.568890000001,2.079573694991406,467.55943449999995,2.209858664119669,26.62,40.5
19.00015,386.50985299999996,3.725881173303969,3947.4094650000006,1.738042101985691,452.11739449999993,1.6998059635366523,26.62,40.6
18.00015,378.1798685,20.649506995110386,3961.2773050000005,1.3596761189617497,438.2936024999999,1.3485171614624474,26.62,40.5
17.00016,395.37824749999993,18.309570616648514,3972.114605,1.0193550634960102,427.39526099999995,1.371446887666092,26.68,40.5
16.00016,377.373695,9.830753449741527,3988.3618799999995,1.6438098483705341,411.33563050000004,1.742192232873499,26.68,40.5
