angle,peak_position,peak_std,gauss_center,gauss_std,centroid,centroid_std,temp,humid
49.99999,807.9418785,410.53925359930906,3796.33108,21.586452405075743,602.5747855000001,19.482567621390015,24.93,45.2
49.0,543.7862035,7.96241512787753,3815.8302400000002,2.1962763913951715,584.0569165,2.278607061632776,24.93,45.1
48.0,533.3053150000001,5.377702792771742,3827.7562150000003,1.3633360023394843,571.466966,1.5234805794082213,24.93,45.1
47.00001,500.2861964999999,10.392495213033431,3837.9959750000007,1.0622190305558576,561.5734954999999,1.4661470206513283,24.93,45.1
46.00001,495.4949355,4.451087273381043,3851.3337100000003,1.1626571256823643,548.4033259999999,1.3698566644850203,24.93,45.0
45.00002,489.19635249999993,6.821078071450926,3863.9098300000005,1.6719458448466848,535.3280870000001,1.6694682711932436,24.93,45.0
44.00002,472.6544665,5.549608058222914,3875.89476,0.8673096611937341,524.0106974999999,0.9664928680951155,25.0,45.0
43.00003,483.3585225,2.881002027744647,3884.8431149999997,1.1727625592058568,515.0630269999999,1.543750633169427,25.0,45.0
42.00003,442.8142445,6.893645380916022,3896.56653,1.0693407184336285,503.08633899999995,1.05650780677617,25.0,45.0
41.00004,441.4623415,5.2972008638150365,3905.8788300000006,1.3749891174478985,494.599476,1.5415302978611938,25.0,45.0
40.00004,432.87181599999997,6.377225702247337,3916.84691,1.7881952440659226,483.2389884999999,1.8432497427621586,25.0,45.0
39.00005,436.8107775,8.170809226654892,3928.072735,1.3598529564901456,472.2542150000001,1.3100045682076864,25.0,45.0
38.00005,405.265966,11.608171282376649,3937.4330949999994,1.3832927070851222,462.60400500000003,1.389517941159815,25.0,45.0
37.00006,402.261353,12.796927253538293,3945.33659,1.17205695932405,454.56483150000014,1.047914930875954,25.0,44.9
36.00006,399.327308,13.395306667180343,3956.5021900000006,1.6405148295275809,443.8349465,1.7470710336654158,25.06,44.9
35.00007,385.48481449999997,8.839791784678798,3963.962885000001,1.9720541940511687,436.3760020000001,2.198834836602327,25.06,44.7
34.00007,377.75228350000003,4.832903242488188,3972.03601,1.2239534259521283,428.189991,1.345952918091489,25.06,44.8
33.00008,373.598828,5.213687051507404,3981.3205799999996,1.3592409895232351,418.9717155,1.5314590954624758,25.06,44.7
32.00008,345.98858750000005,15.209015354714085,3993.2663700000003,1.5343388553706083,407.21237749999995,1.5443344431627335,25.06,44.7
31.00009,345.3623905,5.492128431185376,4002.0472599999994,1.680130403986499,398.315225,1.8089003099632164,25.06,44.7
30.00009,347.4139525,4.467510138636372,4007.8086149999995,1.2929999088456647,392.766661,1.494291961147155,25.06,44.6
29.0001,340.15788549999996,9.290976929851608,4014.6190849999994,1.4238251403437916,385.85481300000004,1.31204053986567,25.06,44.6
28.0001,332.70323500000006,19.083596181636075,4025.119444999999,1.3834814669792141,375.17816300000004,1.5871193461649336,25.12,44.7
27.00011,306.38137450000005,7.981565871881579,4033.535910000001,1.422363248927673,366.84382249999993,1.3406587790891158,25.12,44.5
26.00011,305.8127365,4.440369947289608,4039.622705,1.0220367706081357,360.9742675,0.9700095836324172,25.12,44.5
25.00012,294.876967,9.317081649615456,4048.72791,2.2225010616196017,351.758875,2.209693738533686,25.12,44.5
24.00012,294.4796165,6.6201188274141165,4055.9443549999996,1.4460409833316923,344.65120749999994,1.3489893963144182,25.12,44.5
23.00013,291.964526,17.24362647131728,4061.728215,1.728210854113319,338.76860500000004,1.9297207595647115,25.12,44.5
22.00013,293.1968895,6.25261830869075,4068.2786550000005,1.291351833728964,332.426709,1.638229011981836,25.18,44.2
21.00014,277.480115,7.937003205607576,4079.1156499999997,1.2939803988082834,321.5383795,1.4613741072445354,25.18,44.3
20.00014,275.1780625,11.432688299559668,4081.281525,1.7769404576054795,319.23487750000004,2.158151669549383,25.18,44.3
19.00015,250.57535399999998,4.294933587630196,4091.1964350000003,1.2130499978463685,309.321207,1.2184330851265437,25.18,44.3
18.00015,250.879187,9.996539541459887,4094.885645,0.8278154573786854,305.83568249999996,0.7944638234172502,25.18,44.3
17.00016,245.5451545,4.453738500258489,4103.431774999999,1.2608845271772422,297.4683265,1.31827970531019,25.25,44.4
16.00016,233.16785799999997,6.332445043855967,4111.741175000001,1.743802388137763,289.2852690000001,1.5605515593337655,25.25,44.3
15.00017,232.97354699999997,5.188404839194897,4116.53475,1.7397703433213014,284.3575335,1.9470123871595477,25.25,44.2
14.00017,230.900426,7.213580074579057,4122.184055,1.4282824081654646,278.79315499999996,1.6711988622946667,25.25,44.2
13.00018,216.859265,20.549967494360054,4132.489055,1.0369794050389285,268.47781899999995,1.2485271015316421,25.25,44.2
12.00018,213.585241,6.258978757346838,4138.387755,1.7793949085223646,262.49888999999996,1.6755530846827924,25.25,44.1
11.00019,207.7991825,4.9988149808908435,4141.505405,1.4895184424756944,259.48411699999997,1.3342775492419123,25.31,44.1
10.00019,194.66500200000002,19.873342402299016,4146.655090000001,1.2429444106234881,254.05516200000002,1.2750638678027129,25.31,44.2
9.0002,185.4151,5.694189539597362,4154.994610000001,1.1801063972794426,246.1138785,1.2441049832159403,25.31,44.5
8.0002,187.44513,4.092637905417486,4161.8845949999995,0.5920846657996103,238.837658,0.9255872976580879,25.31,44.3
7.00021,179.133826,11.620415732113633,4167.7392500000005,2.0111899732497736,233.3949815,2.145109968435825,25.31,44.2
6.00021,178.6745245,6.6645040456409586,4175.209525,1.1927854676659044,225.816784,1.1922778533563356,25.31,44.1
5.00022,179.587268,13.613040748882884,4179.0398700000005,1.6224531605258001,221.70364899999998,1.7093241449558376,25.37,44.3
4.00022,166.13922100000002,13.067943168718214,4182.906794999999,1.3517575383458318,217.7214475,1.5542473980382738,25.37,44.1
3.00023,157.9531865,7.355427289645568,4190.29624,0.8778720387391046,210.83831949999998,0.847325098244328,25.37,44.1
2.00023,146.97425449999997,4.591750264267945,4197.620830000001,1.2505332115141385,203.2651745,1.277095720278927,25.37,44.1
1.00024,146.38394699999998,14.822551710786204,4204.872995,1.1208882992853524,196.10640900000004,1.3777370972028704,25.37,44.1
0.00024,148.74505600000003,8.712915980112168,4210.44812,1.4812643300909483,190.74862299999995,1.5347468712302326,25.37,44.1
-0.99976,143.37222775000004,9.92536659983253,4212.230625000001,1.1623086663510196,189.11111899999997,1.141107013701604,25.37,44.0
-1.99975,127.23624145,9.447696456221294,4222.614310000001,1.03440620256266,178.69903549999998,1.0469298102951992,25.37,44.1
-2.99975,125.49854795000002,5.957327982811789,4224.89057,1.5027465778034759,176.49342099999998,1.5755981302092883,25.43,44.1
