angle,peak_position,std,gauss_center,centroid,temp,humid
7.00021,3.122986000000001,11.741911469840845,4210.91482,190.83409550000002,22.62,51.0
6.00021,37.60767835,16.58352327817439,4218.92188,179.171228,22.62,51.0
5.00022,276.1254035,2.1776382545392505,4232.347135,170.91036350000002,22.68,50.9
4.00022,347.7868435,1.1206607888932127,4243.08867,157.36583100000001,22.68,50.9
3.00023,-69.96861449999999,1.2651131637218276,4259.562565,140.30706600000002,22.62,50.9
2.00023,174.71834700000002,1.5068251884014285,4272.555435,128.89193200000003,22.68,51.0
1.00024,180.39925499999998,2.7436587079600483,4279.80254,120.27974815,22.62,50.9
0.00024,184.253284,3.236172409343175,4277.57984,122.43353320000001,22.68,51.0
-0.99976,184.05767799999998,4.547451213026483,4281.884795,119.40731349999999,22.62,50.9
-1.99975,130.48568025000003,2.1757834385517745,4281.063745,122.550135,22.62,50.9
-2.99975,107.94456699999998,2.0320286078943393,4275.109010000001,128.127429,22.62,51.0
-3.99974,216.78082049999998,2.779854398430742,4274.092259999999,128.92930925000002,22.68,50.9
-4.99974,-5.691223105000001,2.4863125498909513,4273.697015000001,132.85677450000003,22.68,50.9
-5.99973,119.95286860000002,1.6095010528607736,4263.246854999999,143.26990849999999,22.62,50.9
-6.99973,203.579433,2.3357597216411228,4244.66822,158.3289665,22.62,50.9
-7.99972,145.0911,2.2684592352563886,4225.925365,176.352403,22.68,50.9
-8.99972,174.56571050000002,2.438441773646596,4196.562005,209.0318975,22.68,50.9
-9.99971,242.50316200000003,2.276454530458715,4166.950835000001,238.39530100000007,22.68,50.8
-10.99971,226.84837550000003,2.98733385593153,4145.020025,260.6358735,22.68,50.8
-11.9997,239.31676050000002,2.3855218366145277,4129.383789999999,277.68314150000003,22.68,50.8
-12.9997,238.82896800000003,1.6418604295024604,4112.703425000001,293.49676850000003,22.68,50.7
-13.99969,226.879918,1.331975798284638,4087.411645,317.68811100000005,22.68,50.9
-14.99969,267.87742849999995,2.338955333565126,4044.997705,355.90657799999997,22.68,50.8
-15.99968,361.390307,2.665672021731298,3996.322265,387.1548345,22.68,50.8
-16.99968,519.09747,1.4247361524506728,3959.463749999999,370.1695075,22.68,50.8
-17.99967,689.887745,1.0838731676146225,3998.1817650000003,259.851307,22.68,50.8
-18.99967,924.1467444999998,1.9764747389897988,4276.116099999999,127.3284055,22.68,50.9
-19.99966,1121.2778199999998,7.364377783804946,4427.736980000001,-1.9834594544150002,22.68,50.8
-20.99966,1111.546255,21.339577431183486,4477.09944,-28.7932007,22.68,50.7
-21.99965,776.5060645000001,15.804429649771759,4829.73134,-425.6870965,22.68,50.9
-22.99965,-3345.2758500000004,162.7301178330781,5375.264004999999,-973.7411235,22.68,50.8
-23.99964,-2981.868745,257.8048215233522,6067.434520000001,-1660.512055,22.68,50.8
-24.99964,-1737.8271250000003,0.49203657473302,6431.17991,-1795.968405,22.68,50.9
-25.99963,-1281.1457400000002,16.735082510474808,6155.29687,-1619.34579,22.68,50.9
-26.99963,-1019.5684885000001,7.201740594000359,5674.100624999999,-1239.2098600000004,22.68,50.9
-27.99962,-800.291907,6.811445314331682,5262.606175,-901.2374425,22.68,50.9
-28.99962,-601.027795,0.7362933242091529,5000.42952,-633.5723300000001,22.68,51.1
