angle,peak_position,std
49.99999,3992.3462199999994,38.82862227686677
49.75,4008.0652800000003,2.0427326020798464
49.5,4010.90372,1.9622245752207164
49.25,4015.42263,2.024873490393916
49.0,4017.78312,0.9355818903762224
48.75,4022.5688200000004,0.8622451354457877
48.5,4025.04683,1.6790700688476063
48.25,4031.2991799999995,1.1991580377914748
48.0,4033.4728200000004,0.9262266567099756
47.75,4036.8813800000003,1.0891529303086693
47.5,4043.41936,1.7743838751521563
47.25001,4043.2296,1.2344401289653375
47.00001,4048.7334600000004,0.9396882634150608
46.75001,4048.507919999999,1.4568260581140193
46.50001,4057.81883,1.5315508976525072
46.25001,4057.3669999999997,1.8094186845504274
46.00001,4062.10297,0.9439117755914054
45.75002,4069.5897899999995,1.504396707953091
45.50002,4069.52399,2.422219136432557
45.25002,4072.3552000000004,2.3923222249521747
45.00002,4078.7174099999997,1.6634260364981477
44.75002,4079.5986199999998,0.8499870067243137
44.50002,4079.86127,1.2938003872699204
44.25002,4084.44577,1.796732971840811
44.00002,4092.12313,1.076456428333271
43.75002,4092.7423000000003,1.8635120836742884
43.50003,4092.43092,1.781177546905448
43.25003,4096.890560000001,1.510198577803662
43.00003,4103.01105,2.1549582939119007
42.75003,4106.74697,1.8618249182187003
42.50003,4105.79725,1.351939964088632
42.25003,4112.8325700000005,1.4249353311993513
42.00003,4115.69028,1.6545885432940584
41.75003,4117.08364,1.7458330826286081
41.50003,4124.28439,1.1746265206013575
41.25004,4126.67913,1.4480290211525673
41.00004,4126.17382,0.7582768977094629
40.75004,4133.7923900000005,1.1574017629587403
40.50004,4136.18167,1.7563973468723133
40.25004,4137.40784,2.2041098970786916
40.00004,4141.65531,1.8916856141812677
39.75004,4143.636710000001,2.127874663813709
39.50005,4144.89518,1.2853818699514703
39.25005,4149.67119,1.8711676153942498
39.00005,4153.95234,1.2642193086644038
38.75005,4153.466740000001,2.796028003865601
38.50005,4156.43963,1.603418327854443
38.25005,4161.17893,1.4173932016556579
38.00005,4159.988010000001,1.9739526541686876
37.75005,4164.6731899999995,1.0438636131695724
37.50005,4166.57729,1.2973353902902784
37.25006,4170.365019999999,1.166008811116004
37.00006,4172.69213,1.083208492442669
36.75006,4174.501920000001,1.8668749019685604
36.50006,4179.490070000001,1.0160276975064244
36.25006,4178.55942,3.408464327758204
36.00006,4183.491099999999,1.7013487373258578
35.75006,4184.87134,1.4173484026166974
35.50006,4185.86762,1.237413607327864
35.25006,4192.94636,2.085467863669903
35.00007,4193.45048,0.9931358082357666
34.75007,4193.59245,1.0858861056757732
34.50007,4200.26121,1.2847773763964079
34.25007,4201.06089,1.3113831198014434
34.00007,4202.16335,1.2039488512806193
33.75007,4205.83162,1.2035588010563147
33.50008,4209.184719999999,1.6528287308733474
33.25008,4214.16921,1.9308883709059608
33.00008,4210.67543,1.5262359621304726
32.75008,4216.59368,1.704925459836883
32.50008,4218.433279999999,1.9085031893082316
32.25008,4221.110949999999,1.1985328833619298
32.00008,4226.28724,1.7131623012428805
31.75008,4222.618919999999,1.6001785030428712
31.50008,4230.29097,1.817138198954567
31.25009,4229.916630000001,1.4372897147408885
31.00009,4233.27158,1.256956187621542
30.75009,4235.08533,1.0623186716331017
30.50009,4232.6762100000005,1.0731400611756161
30.25009,4241.4418000000005,1.3088397388526902
30.00009,4237.817009999999,1.5942894739976003
29.75009,4245.131370000001,1.1292963251954597
29.50009,4245.63964,1.5283449127732684
29.2501,4249.08273,2.5048992343205057
29.0001,4249.336079999999,1.5514979785999645
28.7501,4254.56343,1.6640578265493065
28.5001,4250.596509999999,2.134789664322859
28.2501,4255.884709999999,1.2656269256381079
28.0001,4257.4384900000005,1.3809830335307702
27.7501,4260.95697,2.2832654134155645
27.5001,4263.416470000001,2.481095681770409
27.2501,4265.3218400000005,1.2704106959562973
27.00011,4265.86776,2.0383497404517876
26.75011,4268.52694,1.2089652560765594
26.50011,4268.964300000001,1.2766913941905362
26.25011,4273.65899,0.7694712684044926
26.00011,4275.94761,1.3299130787010558
25.75011,4277.50484,1.1474732530217042
25.50011,4277.79789,1.362226079951534
25.25011,4281.7429,1.982255919905507
25.00012,4280.26887,1.6378252074320145
24.75012,4286.431200000001,2.1174215239296204
24.50012,4283.589470000001,1.0994976871736744
24.25012,4287.191290000001,1.5207476914004174
24.00012,4289.550090000001,1.756645110686909
23.75012,4291.31007,1.8490393625069936
23.50012,4296.672320000001,1.5675908578452278
23.25013,4292.702310000001,1.7076839505305856
23.00013,4298.7502,1.5477542518113039
22.75013,4300.58394,1.7420761654990762
22.50013,4301.46026,1.8573210219021379
22.25013,4306.51835,1.7454857984239787
22.00013,4304.02534,1.601039925923051
21.75013,4307.771149999999,1.9283092419266747
21.50013,4309.06076,1.2903560316439189
21.25014,4308.870830000001,1.521129976070481
21.00014,4316.92376,1.5633437857362262
20.75014,4315.80659,1.5865846516653717
20.50014,4316.362789999999,1.5139887076527678
20.25014,4320.92104,2.994004603937769
20.00014,4315.478710000001,1.5605465430099243
19.75014,4321.725120000001,2.18486490831821
19.50014,4322.84801,1.4497994105738246
19.25014,4322.45578,2.0048881553842928
19.00015,4330.04633,1.4838132490647657
18.75015,4327.17473,1.8468937896099828
18.50015,4329.22001,1.3697742123794279
18.25015,4333.59507,1.6289464411392127
18.00015,4330.68441,0.9650579458770285
17.75015,4337.66031,1.8913946111005984
17.50015,4337.317840000001,2.123153799516281
17.25015,4339.23471,2.083484562193802
17.00016,4342.24313,2.4915314045985006
16.75016,4339.38202,2.304232401820546
16.50016,4344.22456,1.4374587160681667
