angle,peak_position,std
40.0,3259.95576,1.3432851619817312
39.5,3275.8276,0.8365857852008168
39.00001,3293.2476799999995,2.685577109226231
38.50001,3313.3028399999994,1.3389698631410882
38.00001,3326.1745800000003,1.8851794274285913
37.50002,3346.85348,1.6920055950262467
37.00002,3369.91034,1.5358076384756525
36.50002,3384.4971400000004,2.016074821627452
36.00002,3409.06014,1.3297349007979316
35.50002,3427.4864399999997,1.3858694232864193
35.00003,3439.9032999999995,1.8300334051595966
34.50003,3456.125,1.6633696402182843
34.00003,3475.28548,1.6928947107247774
33.50003,3483.8639200000007,1.2907969033121214
33.00004,3504.92652,2.3092924712127965
32.50004,3520.9592599999996,1.649113152697551
32.00004,3537.99572,1.3648114454385645
31.50004,3560.1357799999996,0.9885284910410761
31.00005,3579.6656599999997,0.7500032975928406
30.50005,3593.8027,1.5145181979758806
30.00005,3611.6396199999995,1.2187480681419305
29.50006,3632.3856399999995,0.8325132974313834
29.00006,3641.65274,0.4605303707683808
28.50006,3661.69538,1.019307948364894
28.00006,3672.6384,1.2493384633477866
27.50006,3687.07636,1.439982172945119
27.00007,3700.98954,1.4907376718926881
26.50007,3718.86718,1.8565619336828478
26.00007,3728.3201,0.8610444030361657
25.50007,3747.15634,1.1161783147866067
25.00008,3757.0811000000003,1.2008950445396844
24.50008,3773.82988,1.915405111614863
24.00008,3792.76944,1.8104812703809905
23.50008,3807.9121,1.4431750067126767
23.00009,3825.2405599999997,1.5012081928898524
22.50009,3840.04886,0.4637709331125357
22.00009,3852.74386,0.8092083504264
21.50009,3865.7954,1.719590712931344
21.0001,3882.23326,1.1429571586021696
20.5001,3895.7128599999996,2.7590826994492437
20.0001,3914.16668,1.013155524882547
19.5001,3927.3183799999997,1.8030290096391428
19.00011,3943.0903200000002,1.2805744108017574
18.50011,3957.1646799999994,0.9591353218395471
18.00011,3978.94926,2.373692803713249
17.50011,3988.10348,2.0441331359772072
17.00012,4001.49574,1.656915321433279
16.50012,4019.54878,0.9424380391304853
16.00012,4028.3780999999994,0.5949548285374552
15.50012,4039.71696,1.6920558012075815
15.00013,4054.3830800000005,2.2169360725108764
14.50013,4063.17396,1.7959944516618327
14.00013,4073.6104399999995,1.5190113503195772
13.50013,4084.8140599999997,1.705644745660667
13.00014,4093.66708,1.6584714437095613
12.50014,4104.436319999999,0.8677086317421441
12.00014,4112.75882,1.1677973666693673
11.50014,4123.10914,1.5569139277429827
11.00015,4140.48164,0.6421430451229134
10.50015,4151.48912,2.3684820070249355
10.00015,4164.43578,0.987704681369863
9.50015,4178.4308,1.256482830762376
9.00016,4190.774439999999,1.3546309868003181
8.50016,4200.0285,1.0676837546765998
8.00016,4217.2848,1.345012704772776
7.50016,4221.039059999999,1.2460124519440556
7.00017,4235.16434,0.8216764657698592
6.50017,4245.06314,2.847943142410067
6.00017,4258.75476,2.141581490954642
5.50017,4267.80604,1.2216081427366356
5.00018,4276.8565,1.2412315432664263
4.50018,4292.87722,0.5526248904998392
4.00018,4304.5760199999995,1.4882333048281873
3.50018,4312.97314,2.3607212250496667
3.00019,4328.9423,0.9088589945641223
2.50019,4342.5254,1.1961405051246847
2.00019,4353.28248,2.158455280426166
1.50019,4369.6403,0.890746558792068
1.0002,4387.16388,1.177830708378725
0.5002,4396.8356,1.3239269964767593
0.0002,4414.78482,1.505484948313978
-0.4998,4424.2685599999995,1.2202093404001126
-0.9998,4436.27688,2.1728831550729244
-1.49979,4455.04472,1.7434717427019935
-1.99979,4465.1030200000005,2.2079969043458325
-2.49979,4477.91504,2.841841539284107
-2.99979,4488.01086,0.9767163817610736
-3.49978,4499.4066,1.0832781286448694
-3.99978,4509.49406,1.7312483699344712
-4.49978,4522.6258,1.1987660922800476
-4.99978,4532.40004,1.4323615278273398
-5.49977,4535.919199999999,2.4656788558122726
-5.99977,4548.6397,0.975694950278862
-6.49977,4556.42624,2.266817807059032
-6.99977,4570.75768,3.659231826162345
-7.49976,4574.2518,1.4244317323057067
-7.99976,4588.94066,1.102409353370821
-8.49976,4597.4673999999995,1.1441025915538476
-8.99976,4617.01176,1.9183394304448342
-9.49975,4626.6078,1.1138986758229639
-9.99975,4645.44476,1.332894302786208
-10.49975,4657.054099999999,1.2520552687481186
-10.99975,4673.1687,1.7380596054221342
-11.49974,4684.881020000001,1.7925035033717265
-11.99974,4703.12788,1.7179660106066643
-12.49974,4714.15274,1.4216397512731735
-12.99974,4736.11674,1.8369699895208778
-13.49973,4743.0156,1.9713805923769043
-13.99973,4754.65762,1.4823197878997998
-14.49973,4771.43038,1.2445979533971567
-14.99973,4779.2351,1.831267579574278
-15.49972,4795.18682,1.5364294938590237
-15.99972,4806.16326,0.7119184099319504
-16.49972,4817.81794,0.848188522912144
-16.99972,4832.28208,1.0533546893617043
-17.49971,4842.7323400000005,1.2352179137303267
-17.99971,4854.66908,2.157706807145017
-18.49971,4868.20018,2.734402334990229
-18.99971,4883.27972,1.9559114677304372
-19.4997,4898.513559999999,1.1853089835145454
-19.9997,4912.39134,1.5622108354508115
-20.4997,4932.952920000001,1.857759448798505
-20.9997,4941.33154,1.7219257668086962
-21.49969,4961.941220000001,1.3571635132141384
-21.99969,4977.607580000001,1.1551402623056262
-22.49969,4997.406199999999,2.7626498938518327
-22.99969,5013.2346,2.6537983412457504
-23.49968,5030.68306,1.4483317487371121
-23.99968,5040.397080000001,2.5915499658697034
-24.49968,5053.69306,1.4633315818364747
-24.99968,5072.42404,1.0492666097803218
-25.49967,5087.38182,1.2458869746491577
-25.99967,5100.9319,2.2695729192957463
