angle,peak_position,std,gauss_center,centroid,temp,humid
49.99999,1150.47297,4.62824976757954,3197.838655,1190.6256700000001,21.56,53.8
49.5,1144.7229450000002,9.242197146970804,3208.7517500000004,1180.03863,21.56,53.7
49.0,1123.8735700000002,7.382150596817995,3223.36227,1165.1995150000002,21.56,53.8
48.5,1108.18304,9.571501091438039,3239.01541,1149.4580150000004,21.56,53.8
48.0,1092.87722,9.036104180098876,3255.40746,1132.8873449999999,21.56,53.7
47.5,1082.4194900000002,8.3962514906892,3266.64717,1121.7565650000001,21.56,53.7
47.00001,1070.8199600000003,8.247596690939746,3278.168995,1110.51804,21.56,53.7
46.50001,1059.3039750000003,8.995484889980933,3289.80635,1099.2262249999999,21.56,53.7
46.00001,1040.739325,6.849164517798888,3307.83531,1082.24542,21.56,53.6
45.50002,1032.9923895,11.81884873985597,3320.18088,1070.8415850000001,21.56,53.6
45.00002,1025.242624,9.413867712483206,3327.3166699999992,1064.6221600000003,21.56,53.6
44.50002,1016.8954004999999,7.1219476135622175,3341.490225,1051.5671100000002,21.62,53.6
44.00002,1000.0410284999998,6.865280467543393,3353.5790650000004,1040.7652299999997,21.62,53.6
43.50003,989.4334714999999,9.692190530957017,3367.48257,1028.1234515,21.62,53.6
43.00003,971.3106100000001,6.693510095661317,3380.81139,1015.8487425000001,21.62,53.5
42.50003,958.805508,5.068367735085511,3391.2633949999995,1005.3044819999999,21.62,53.4
42.00003,952.1945645,11.982321670334782,3403.561945,993.0744364999998,21.62,53.5
41.50003,934.6434079999999,14.01036686735491,3418.390215000001,978.1577755000002,21.62,53.5
41.00004,925.229672,9.494827143746543,3428.2458500000002,967.4363999999998,21.62,53.4
40.50004,926.4372010000001,15.457703194120041,3438.6883799999996,955.5864119999999,21.62,53.4
40.00004,900.3703869999999,14.454110452097032,3451.903094999999,941.2501255,21.62,53.4
39.50005,891.1080330000001,10.406522997233559,3465.73326,926.601283,21.68,53.4
39.00005,883.2437254999999,14.39775140590345,3476.1000350000004,914.3345949999999,21.62,53.4
38.50005,866.2284205,12.959396608439558,3491.1814549999995,898.737774,21.68,53.3
38.00005,861.6833494999998,7.740618195226711,3500.099835,889.44302,21.68,53.3
37.50005,846.5321415000001,8.957809921185685,3511.49049,877.7832874999998,21.68,53.3
37.00006,834.842003,18.142848385791872,3522.669655,866.3536635000003,21.68,53.2
36.50006,820.4532204999999,7.1385425423453785,3536.33074,852.8926079999999,21.68,53.2
36.00006,809.8808164999999,6.043811004440211,3545.37227,844.3150670000001,21.68,53.2
35.50006,793.300042,10.024946390665939,3560.7964,829.7326130000001,21.68,53.2
35.00007,788.8038665,9.184974117805266,3570.5290950000003,820.7072409999998,21.75,53.1
34.50007,773.5892099999999,9.50121408587923,3582.321065,809.7074809999999,21.68,53.1
34.00007,766.703221,7.154997303156649,3592.107795,800.600638,21.68,53.1
33.50008,750.660849,8.765752362576135,3606.7520650000006,786.480251,21.68,53.0
33.00008,741.743474,8.632028122468899,3613.0492450000006,781.1361025,21.75,53.1
32.50008,732.1235815,11.69737038543803,3623.8523450000002,770.3715115000001,21.75,53.0
32.00008,720.4794919999999,7.181043393922372,3635.1124150000005,759.507679,21.75,53.1
31.50008,710.1986939999999,8.454901996080977,3646.9578300000003,747.780078,21.75,53.1
31.00009,700.0835179999999,9.714393878417017,3654.8353599999996,739.81719,21.75,53.1
30.50009,690.5744575,11.850741991683426,3670.2853600000003,724.5811180000001,21.75,53.0
30.00009,678.4840375000001,8.203642257853447,3676.540634999999,718.1802989999999,21.75,53.0
29.50009,665.90414,5.194840677205601,3691.9567749999997,702.9225389999999,21.75,53.0
29.0001,659.9553760000001,6.544107688700116,3697.3118650000006,697.2848060000001,21.75,53.0
28.5001,644.804173,7.811452202771333,3713.7056150000003,681.4383,21.75,52.9
28.0001,639.2729609999999,10.183388371170423,3718.7096950000005,676.4023189999999,21.81,52.8
27.5001,629.909312,13.769515171971236,3726.140045,668.728777,21.75,52.9
27.00011,618.9375245,8.4909476598366,3741.2435750000004,653.94321,21.81,52.9
26.50011,610.8781725,8.002133921910369,3747.97145,647.5439335,21.81,52.8
26.00011,597.9124255,7.083555921859783,3760.297255,635.3210565,21.81,52.7
25.50011,589.4356085000002,4.734266022290345,3769.5357599999998,626.262638,21.81,52.7
25.00012,582.02992,8.614814730267874,3775.8036900000006,620.154045,21.81,52.8
24.50012,570.8810825,5.808289013701776,3793.4236499999997,603.273799,21.81,52.7
24.00012,557.7900285,6.262444384459865,3800.5855,596.2395590000001,21.81,52.7
23.50012,550.138146,8.107833683123623,3812.6920099999998,584.0987745,21.81,52.7
23.00013,539.1216784999999,5.585362960871285,3820.3973250000004,576.825492,21.81,52.6
22.50013,527.3248139999998,6.168398946600644,3832.968265000001,564.075685,21.81,52.9
22.00013,519.7261814999999,7.665862761264568,3836.4064750000007,560.6463355,21.81,52.6
21.50013,509.11712699999987,5.340575415231119,3850.4130400000004,546.9981905,21.81,52.7
21.00014,495.05583399999995,7.467428955018181,3861.59475,535.6390875,21.87,52.7
20.50014,490.95129499999985,5.735835194448579,3868.0292550000004,529.0740064999999,21.81,52.6
20.00014,478.1353035,7.044625511935515,3878.839995,518.7486135,21.87,52.7
19.50014,464.9895985,11.85165841411373,3892.4717150000006,505.300578,21.87,52.6
19.00015,454.5101445,6.619267775034851,3902.484375,495.3048965,21.87,52.5
18.50015,442.5191019999999,9.774938358736895,3907.500655,490.3955934999999,21.87,52.5
18.00015,437.33195750000004,8.644148533786241,3921.2984850000007,476.5559935,21.87,52.4
17.50015,426.2046495000001,5.521531298967229,3925.324865,472.82145899999995,21.87,52.4
17.00016,413.60314749999986,7.215013113482799,3938.841679999999,459.8139525,21.87,52.6
16.50016,405.13205350000004,9.633966810868348,3947.36138,451.35007349999995,21.87,52.4
16.00016,397.4269165,5.964497692523045,3956.1055949999995,442.98698649999994,21.87,52.5
15.50016,386.92307349999993,5.059738608619303,3964.9463700000006,434.3072179999999,21.87,52.5
15.00017,386.8884645,20.913556500341464,3975.134435,424.0422725,21.87,52.5
14.50017,369.81243800000004,11.102627749492724,3985.5841550000005,413.919848,21.87,52.4
14.00017,365.605736,6.788940228974179,3991.826935000001,407.75802049999993,21.87,52.4
13.50017,353.7413085,7.7762870947749025,4003.1438550000007,396.5400900000001,21.87,52.4
13.00018,346.0274905,10.522715613037098,4011.2898099999998,388.96305199999995,21.87,52.4
12.50018,337.598109,11.374139569352009,4022.3704750000006,377.42982199999994,21.93,52.4
12.00018,327.23520700000006,8.578841323842688,4030.2881649999995,370.02265750000004,21.87,52.3
11.50018,319.6106315,6.144109239741973,4035.0285599999997,364.9751085,21.93,52.4
11.00019,312.694314,9.510250507094124,4045.6256350000003,354.479868,21.93,52.3
10.50019,295.06994799999995,14.645915432204502,4057.0115750000004,343.68514650000003,21.93,52.3
10.00019,289.04496,9.425961482557636,4066.7765249999998,333.6533305,21.93,52.3
9.50019,276.74007550000005,12.991386502755766,4074.4143749999994,326.0164325,21.93,52.3
9.0002,270.4241799999999,10.981602139484476,4081.2023500000005,319.560512,21.93,52.2
8.5002,261.55701899999997,15.894271715316462,4088.458440000001,312.57472,21.93,52.3
8.0002,250.047057,9.15584481213236,4100.070415,301.4448145,21.93,52.3
7.5002,241.96744400000003,9.11934122203594,4109.689660000001,291.28802650000006,21.93,52.3
7.00021,235.35753150000005,4.412043854752889,4116.608365,284.8209855,21.93,52.1
6.50021,230.1431755,7.1115310804843395,4127.675910000001,273.25618700000007,21.93,52.2
6.00021,220.246666,7.614654623271103,4132.881245,268.0718375,21.93,52.1
5.50021,209.69354149999998,5.698457572959787,4145.0410249999995,256.33707100000004,21.93,52.3
5.00022,204.50743450000002,10.119155099635776,4151.250529999999,249.89879200000001,21.93,52.2
4.50022,195.1315325,9.969161486382829,4160.17182,240.70484699999997,21.93,52.1
4.00022,181.17384070000003,30.166394389310923,4168.186765,232.93126150000003,21.93,52.1
3.50022,161.6330435,15.676226001683016,4175.0010649999995,226.244395,21.93,52.1
3.00023,148.7494015,7.869473191804053,4184.060385000001,217.33953699999998,21.93,52.1
2.50023,136.21705275000002,11.976529420648063,4194.36372,206.978283,22.0,52.1
